pid,experiment,smoothing,prior_param
5cd98287b0c5ec0001e0965a,experiment_2,1.72276672,0.0
5cdeaeb3557fbd00018a2c59,experiment_2,2.48490517,0.0
5cf92c7255e1370001e54adb,experiment_2,1.89711982,0.0
5d29fbc8f91bdd0016e98503,experiment_2,0.28776506,0.0
5d36ff998129260015c6de19,experiment_2,1.55334904,0.0
5d6e3252dfe6d10001dbe508,experiment_2,1.23642183,33.33037842
5d94c6f5dc0b0e001465072e,experiment_2,1.72276675,0.0
5da60411423c170017b7dc0f,experiment_2,1.89711998,0.0
5dc56fbac34fc53e4e78b820,experiment_2,0.875479032,3.43625114e-06
5e29e902c2253a0587298e26,experiment_2,1.89712004,0.0
5e5eb4843accc91e2443212f,experiment_2,0.49899098,0.0
5e87a0b5fc57a7415442f97e,experiment_2,2.27359753,0.0
5e9948b69223aa17c21564f4,experiment_2,1.38925292,0.0
5e99e838545b26058749d068,experiment_2,1.89712263,6.67068485e-08
5ecba4b6ef75d53505406d57,experiment_2,1.38629431,145.90172489
5ecd7b06a1a9170e7806f51e,experiment_2,1.72276665,0.0
5ed8be74a4175a01156004b0,experiment_2,1.21924003,0.0
5edaa4924ea9bd6f14f3d618,experiment_2,1.38629436,0.0
5edbaae1b9f9f68349ce80f3,experiment_2,2.27359744,0.0
5ef109c89196fa6d5cf6c005,experiment_2,1.55334912,0.0
5ef8a0b375e30603ebc12510,experiment_2,1.55334909,0.0
5f1b69a1459c1e0009a83009,experiment_2,1.21923997,0.0
5f2dbc04160a0f0d88ee4440,experiment_2,1.38629469,0.0
5f31671e69023f000b0c0547,experiment_2,1.55334904,0.0
5f3c2701fa55251a108b07e6,experiment_2,0.87547984,0.0
5f64b5eed3b0d9015f58920c,experiment_2,1.89712001,0.0
5f6875b05e3bc74d0dee825e,experiment_2,1.89714382,0.0
5f6a7d0d9d705213a0db27e2,experiment_2,1.55334805,0.0
5f75cc1fb0741626d6634281,experiment_2,1.21923997,0.0
5f7728b294840b203855824d,experiment_2,0.0,0.0
5f91ad02439b5e04b51d69a0,experiment_2,1.04982213,0.0
5f958e181381b5079be5d02f,experiment_2,1.22679949,0.0
5f9a893d999ea71a0c6c4851,experiment_2,1.0498221,0.0
5fa01b6003aed3026366571c,experiment_2,1.04982219,0.0
5fa91c5d816c5c831297d606,experiment_2,0.49899112,0.0
5fb6ed2116919c000a99249e,experiment_2,2.2735976,0.0
5fb91837b8c8756d924f7351,experiment_2,1.55334912,0.0
5fbeef08fae48b16613fbe94,experiment_2,2.4849055,152.33584131
5fc64e35746dd626bb337f76,experiment_2,1.04982213,0.0
5fc7efbee5390f0b42e30f22,experiment_2,1.38629373,65.97009698
5fc86c1b2df6ff1ff7a51ea5,experiment_2,1.5960254,31.03981657
5fcb705d9b31048d04ac0a8a,experiment_2,1.72276677,0.0
5fd761f02e24f003c7dbc814,experiment_2,2.27359747,0.0
5fecb4e73e41f76583b6023a,experiment_2,1.04982213,0.0
5fedf2023cc53c06d3406a14,experiment_2,1.06423247,0.0
5ffb3cdfa301645772b03b49,experiment_2,1.72276677,0.0
600090cc2864f714e71d0e45,experiment_2,1.0498221,0.0
60042af01e4c4b52c5ee0c01,experiment_2,0.0,0.0
600a9ab59e9b701db49fbec1,experiment_2,1.72276706,0.0
600ec679c144277505d6428d,experiment_2,1.89712014,0.0
60142d5718e5943b09fd9298,experiment_2,1.55334898,0.0
601859370b15830bb219db7a,experiment_2,1.58012074,0.0
6023df50d5c2d7069115de3f,experiment_2,1.89711996,0.0
60358e8f4cf36d6725a603dd,experiment_2,0.50286459,0.0
603691e060f42aaf3b034a94,experiment_2,0.49899097,0.0
603bf563c71a1c8ca72cbbac,experiment_2,1.89711928,79.10880417
603c11e7db9042987c7180be,experiment_2,0.728535541,0.000371424114
6040a6019923db2cb26b04e0,experiment_2,1.38629436,0.0
604258da4004870ebf00822d,experiment_2,1.72276681,0.0
604b859f965723dde6768f6c,experiment_2,1.72276671,0.0
604e2e30b9ef1f91e2e6a67a,experiment_2,1.21923979,0.0
6052554f2d140e57270e22f9,experiment_2,0.87546859,0.0
605260141614ee63870d2394,experiment_2,1.04982209,0.0
6055511b69c5e470713c8717,experiment_2,1.72276674,0.0
6055b240728724a27d38b40a,experiment_2,1.72276672,0.0
605b2e99ac3c7259bbbefc2f,experiment_2,0.69300311,0.0
606098b34aa547f1cb645083,experiment_2,2.27359758,0.0
6063738895dfdf467955017c,experiment_2,1.38629407,0.0
60649bf146ce5a76f4bef1ce,experiment_2,2.07944159,0.0
6065ba36add2074fed28d812,experiment_2,1.38629436,0.0
606a3cb8f0138d1b0a789c2b,experiment_2,1.38629437,0.0
607728dc0b4f8590b94ae57c,experiment_2,1.55879059,0.0
6079b2d809f2f241470e821f,experiment_2,0.87546873,0.0
607dc10ae5bc5c8b32b18e9a,experiment_2,1.89711855,0.0
6081db2a9344bdf3d4413d45,experiment_2,1.72276623,2.41419313e-07
6084499487b6d10d2aabda10,experiment_2,2.27359753,0.0
60913f7000c9d4d18948da79,experiment_2,1.89711996,0.0
6092de3f71eab0b8ffb3a1fc,experiment_2,0.49883549,0.0
60990347620d51b977f34ce0,experiment_2,0.69314626,0.0
609ab3c7fdf2516540d38003,experiment_2,1.05158318,0.0
60a2541c0e5a829853aad745,experiment_2,1.5533491,0.0
60a2e8c68b3c9c53a3aef722,experiment_2,1.72276674,0.0
60a5769dbae38f67750f42e4,experiment_2,1.38675075,6.59889165e-05
60a7bfcca14b2acd0cb66b16,experiment_2,1.72276677,0.0
60aabff11bad269f664ccbc7,experiment_2,1.04982208,0.0
60aac06904242bda27c46987,experiment_2,0.49899089,0.0
60ae4fc3b2a7bb662abb8852,experiment_2,0.0,0.0
60afa415649ba80204381dad,experiment_2,1.72276674,0.0
60b553fb5705a4355358afaf,experiment_2,2.07944465,2.60491478e-07
60b5cbacd78980bbcd8ddd41,experiment_2,0.883845251,1.78370492e-06
60b64f694c19cc0041d1a830,experiment_2,1.89712008,0.0
60b66d5d7b07f575f5070524,experiment_2,1.72276669,0.0
60b6bccce70b9dcb57760f69,experiment_2,0.28768211,0.0
60b6c415dbda3236ea22455a,experiment_2,0.69314709,0.0
60b7e7db11897639638f15cb,experiment_2,1.72823516,0.0
60b889967014a024377477fa,experiment_2,0.87546873,0.0
60b8bfa6fd93d6732a7d4ddf,experiment_2,2.07944159,0.0
60b8db5feb283b86cce8de9f,experiment_2,0.70472207,0.0
60b90114ef13bcd3c200c193,experiment_2,1.89715466,0.0
60b91d545349ec32de395ddd,experiment_2,0.0,0.0
60ba349d21c7acbaaabc36dd,experiment_2,1.55334899,0.0
60ba6740a76fadb32842870e,experiment_2,1.55334909,0.0
60ba81c2a91092e4071c276c,experiment_2,1.381224,7.42456288e-07
60bb608a2da16013513f577e,experiment_2,1.7227668,0.0
60bd04a3749e1ca47e54d3e1,experiment_2,1.72276668,0.0
60bda3d97d8f5c8f09917d2f,experiment_2,1.21923989,0.0
60bddb39c8287f341bad6ad6,experiment_2,0.69641902,0.0
60bdf618de5fce4b2423e8d7,experiment_2,1.72276666,0.0
60be136a592f08dc5f9e4b28,experiment_2,1.72276678,0.0
566feba6b937e400052d33b2,experiment_3,1.06506972,0.0
56cb8858edf8da000b6df354,experiment_3,2.27359758,0.0
571de12713b1b70012be47f6,experiment_3,2.48490516,0.0
572f526c3c27e7000e0b8aaa,experiment_3,1.72276682,0.0
5831960ab232860001b110dc,experiment_3,1.82371781,63.81338191
594abd98215cbd000146debc,experiment_3,0.0,0.0
5acc65f668b65b00018db322,experiment_3,1.89712002,0.0
5b339152afe1d00001c6c509,experiment_3,2.48786103,0.0
5b84a7ea4f38790001778d53,experiment_3,1.21923993,0.0
5c018eb6067bbf00019ba43d,experiment_3,2.07944164,0.0
5c06fc4918ac7e00016bf76d,experiment_3,2.72129715,0.0
5c17c149f596b100011ca8b8,experiment_3,2.07944159,0.0
5c6400cbcb937d00012d8866,experiment_3,1.04993695,0.0
5c7dd22debc24800018e7ca0,experiment_3,0.87546883,0.0
5c8bafb53b6f3d00013d7c30,experiment_3,0.87546868,0.0
5cf9179b8c98dc0001d5a431,experiment_3,1.55334906,0.0
5cfddbd3ee0b1500019fa84c,experiment_3,2.07944481,0.0
5d1a69d8f97a18001977e0d7,experiment_3,1.21923942,0.0
5d1c9f75328d1c001af3af0f,experiment_3,2.48490528,0.0
5d470786da637a00014ba26f,experiment_3,1.04982222,0.0
5d67b6d92b7448000173d95a,experiment_3,1.72276668,0.0
5d70ec2138ac7e00012f817b,experiment_3,2.07944155,0.0
5dafea4de40355001651fa2f,experiment_3,0.77603282,0.0
5dde680c40460edc4a5dc1a2,experiment_3,2.07944167,0.0
5de2b59d8fde1c2eb47f92d8,experiment_3,2.27359744,0.0
5e1b65eeb287dc38d94b694e,experiment_3,1.7228154,3.79815536e-06
5e31e6491faa251bf58151ce,experiment_3,2.07944164,0.0
5e3b5fa9255e7a37bc841135,experiment_3,2.4849053,0.0
5e7d3b58d638273c7f823c7b,experiment_3,2.48490521,0.0
5e822d17f956a29530ccc2f8,experiment_3,1.89712008,0.0
5e9fdd5effe6a51855448d1b,experiment_3,0.87546918,0.05351382
5ec3b9e83f187802a6aa041e,experiment_3,1.72276671,0.0
5eea0a01da0cfc0a744df4d9,experiment_3,1.40186636,0.0
5ef601b056fe3607b3410b33,experiment_3,2.07944155,0.0
5eff4206a352be49f1aef4cc,experiment_3,2.27359763,4.68231214e-08
5f0559d1bc410b85707c58a3,experiment_3,2.99590982,0.0
5f108dea719866356702d26f,experiment_3,1.83827956,0.0
5f120176fbc66510873bcbf8,experiment_3,1.72276677,0.0
5f1b2fe23bcef80c38d2a362,experiment_3,1.38629441,0.0
5f2448855226b0000a8129e1,experiment_3,2.4849052,0.0
5f2c226f8cea75078acb6377,experiment_3,1.21923985,0.0
5f343de4d0c07630b7f90b92,experiment_3,2.48490491,0.0
5f3aee04e30eac7cb73b416e,experiment_3,1.04988672,4.09782899e-06
5f3e8506cb479c0a96cf4aac,experiment_3,2.07944388,0.0
5f466020c3a053038da47399,experiment_3,1.89711987,0.0
5f4e97aae4fe380a7bad99c7,experiment_3,2.48490521,0.0
5f600669b846780f0fe45709,experiment_3,1.89713445,136.02548003
5f6b8c1f5622370b0c94d597,experiment_3,1.39100375,0.0
5f75ce20817166287293b825,experiment_3,1.72276671,0.0
5f761e5106b786071f45b4aa,experiment_3,0.50937569,0.0
5f8836a5fb70462a169fc0ac,experiment_3,2.27360602,0.0
5f97e6601f6d0e016087fc91,experiment_3,0.69314613,0.0
5f9aba6600cdf11f1c9b915c,experiment_3,1.38704711,1.01498204e-07
5fa107215a15fe19519b484d,experiment_3,1.72364098,0.0
5fad2378719b9d3a961834c9,experiment_3,2.27359755,0.0
5fb26f723d8b23832ff835c6,experiment_3,1.38629446,0.0
5fbbf3f438be4c025df6cdd4,experiment_3,2.72129715,0.0
5fbd9bcc54453f1b0b28d89a,experiment_3,1.21924011,0.0
5fbfa7490dcefd0251d79dff,experiment_3,2.27359754,0.0
5fbfe145e52a44000a9c2966,experiment_3,0.297788646,2.0513274e-05
5fd0c81fc79aef1882cbee94,experiment_3,1.38629475,0.0
5fd8d7e42ce9082dd7998e6d,experiment_3,1.21923997,0.0
5ff4a242cbe069bc27d9278b,experiment_3,2.27359752,0.0
6004c0c7e2b1453733edd35e,experiment_3,1.04982206,0.0
6011a4b308baec1050c17853,experiment_3,0.87546873,0.0
60199372bd48490e12a0d92e,experiment_3,1.89712231,1.16292803e-06
6021d74808e9e926a4ff44c6,experiment_3,1.04982222,0.0
60259da406ab01158d9b9f83,experiment_3,1.55907824,21.34880665
602cf366166df76360257563,experiment_3,1.55334904,0.0
602d29200724e36ae7a9def2,experiment_3,2.48490522,0.0
603440fb5478fc266d855faf,experiment_3,1.88470731,0.0
603a95f65fc5996c59b3ab1d,experiment_3,1.89735369,114.83387352
604b169fe4b7991ec08da3a6,experiment_3,2.48490518,0.0
604fa685e33606f9a0ee8189,experiment_3,1.10453798,18.20135548
605641bb59792eaba4b3abe5,experiment_3,2.27359746,0.0
60589194fbc0330c06ddc15c,experiment_3,2.2811063,120.81447978
606340ca7faac7025f31dd57,experiment_3,1.55334903,0.0
606451b5aab2ec4afaae10f4,experiment_3,1.89712139,75.47201499
606c6e255a5575b822e0e925,experiment_3,1.09296717,25.86180026
6086bce92a8e1c219a9120c5,experiment_3,1.89712664,0.0
6089cd0a1c1541c29bb34c73,experiment_3,1.89712008,0.0
608c9c26b741d7214882fee6,experiment_3,2.72129721,0.0
60979b540a2cf2468fde514b,experiment_3,2.27359746,0.0
6099132b6d152b812fdc911c,experiment_3,2.27359752,0.0
60a37b4e514b606e0a822a0c,experiment_3,0.69314612,0.0
60a6ba026f8bd75b67b23c97,experiment_3,1.89712007,0.0
60a7d7b70d3cf8f48a8a490d,experiment_3,1.89711996,0.0
60aa4b9356c591511cc09f5f,experiment_3,0.28768183,0.0
60b56ada17663c9fdcb74bdd,experiment_3,2.07944154,0.0
60c048ca962103e0da201a34,experiment_3,1.55334915,0.0
60c0ed7d2fbe3e53bca9866a,experiment_3,1.72276681,0.0
60ccdd2c461e041ac1dc2b41,experiment_3,2.27359759,0.0
60d2f9397932f9695f49f5f4,experiment_3,1.21924012,0.0
60d3acd071e98de7a42743ac,experiment_3,0.87546894,0.0
60d6e2dd110d9cbe0c20bbc7,experiment_3,1.38629436,0.0
60db521470b51a50415d3439,experiment_3,1.89711993,0.0
60ddfb3db6a71ad9ba75e387,experiment_3,1.38629436,0.0
60e70d678909d1d5e5bd8943,experiment_3,1.55366049,0.0
60eddc1f62cdf337ab19f604,experiment_3,0.69314491,42.06782465
6106ac34408681f3b0d07396,experiment_3,1.38629459,0.0
