session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
624472ae22fc296060b0a237,613e18e92e4ed15176362aa2,APPROVED,2022-03-30 15:09:42.030000,2022-03-30 15:32:23.453000,1361.423,19,126,4,96,2022-03-31 10:52:23.752000,29551DF4,Mexico,Mexico,Part-Time,Spanish,Mexico,Male,Yes
624479a6c5f45df46ad678f3,5c86d4f7d7c01f001660d938,RETURNED,2022-03-30 15:39:18.525000,,72900.185374,27,350,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62447b24650e373830f76c4a,5b94d723839c0a00010f88d9,RETURNED,2022-03-30 15:45:50.401000,,72508.338691,25,501,5,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62447e3bd4f75fbdee0bbf7e,6144cba7401d6c2ef03c7337,RETURNED,2022-03-30 16:00:13.475000,,71645.280446,22,138,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62447e89a6fc436ed9cf0e88,60a6ba026f8bd75b67b23c97,APPROVED,2022-03-30 16:00:10.125000,2022-03-30 16:32:25.793000,1935.668,22,136,4,97,2022-03-31 10:52:23.834000,29551DF4,Portugal,Portugal,Other,Portuguese,Portugal,Male,Yes
624481e960fe58844ebf3927,5f761e5106b786071f45b4aa,APPROVED,2022-03-30 16:14:33.340000,2022-03-30 17:05:11.442000,3038.102,24,338,2,100,2022-03-31 10:52:23.933000,29551DF4,Poland,Poland,Full-Time,Polish,Poland,Male,Yes
624481e9dc471fa8cd8bfcd3,61717173748006894b2b54ff,APPROVED,2022-03-30 16:14:55.646000,2022-03-30 16:40:07.977000,1512.331,18,189,0,100,2022-03-31 10:52:23.998000,29551DF4,Hungary,Hungary,Unemployed (and job seeking),Hungarian,Hungary,Male,Yes
624481eb2b7866d9875ddfc5,5c6400cbcb937d00012d8866,APPROVED,2022-03-30 16:14:35.571000,2022-03-30 17:08:36.666000,3241.095,36,541,0,100,2022-03-31 10:52:24.073000,29551DF4,Poland,Poland,Unemployed (and job seeking),Polish,Poland,Male,No
624481ebf03cc0f4f15b77f9,61254c5a6facc8ed023a64de,APPROVED,2022-03-30 16:14:38.125000,2022-03-30 17:08:07.384000,3209.259,27,269,0,100,2022-03-31 10:52:24.162000,29551DF4,Poland,Poland,Full-Time,Polish,Poland,Male,No
624481ec05a2d36755d1df5e,613af39692992acbacdbbbbc,APPROVED,2022-03-30 16:16:29.873000,2022-03-30 16:58:49.289000,2539.416,30,167,1,100,2022-03-31 10:52:24.252000,29551DF4,South Africa,South Africa,Full-Time,DATA EXPIRED,South Africa,Male,Yes
624481ec7956ee1214737196,5f2c226f8cea75078acb6377,APPROVED,2022-03-30 16:14:52.301000,2022-03-30 16:51:42.529000,2210.228,28,85,3,98,2022-03-31 10:52:24.353000,29551DF4,Italy,Italy,DATA EXPIRED,Italian,Italy,Male,DATA EXPIRED
624481ecb1c7402a882d1a4c,606340ca7faac7025f31dd57,APPROVED,2022-03-30 16:14:38.994000,2022-03-30 16:44:34.656000,1795.662,31,218,0,100,2022-03-31 10:52:24.443000,29551DF4,India,Poland,Full-Time,English,India,Male,Yes
624481ecd9f70c1e8bb40b00,5d67b6d92b7448000173d95a,APPROVED,2022-03-30 16:14:47.484000,2022-03-30 16:31:36.962000,1009.478,39,502,1,100,2022-03-31 10:52:24.537000,29551DF4,Spain,Spain,Full-Time,Spanish,Spain,Male,No
624481ed1c94a0dcda8d8b60,60ddfb3db6a71ad9ba75e387,APPROVED,2022-03-30 16:15:08.599000,2022-03-30 16:47:22.546000,1933.947,19,228,1,100,2022-03-31 10:52:24.602000,29551DF4,Hungary,Hungary,Other,Hungarian,Hungary,Male,Yes
624481ed2d2ced8992e00a68,60ccbffae161aadb1880ad6c,RETURNED,2022-03-30 16:14:39.833000,,70779.104359,33,1168,3,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
624481edc054484e38a39152,606c6e255a5575b822e0e925,APPROVED,2022-03-30 16:14:44.469000,2022-03-30 16:55:50.241000,2465.772,36,169,5,98,2022-03-31 10:52:24.700000,29551DF4,South Africa,South Africa,Full-Time,English,South Africa,Female,No
624481edc7ef85eafda1d766,5fd8d7e42ce9082dd7998e6d,APPROVED,2022-03-30 16:14:37.762000,2022-03-30 16:35:17.236000,1239.474,24,108,1,100,2022-03-31 10:52:24.816000,29551DF4,Portugal,Portugal,Part-Time,Portuguese,Portugal,Male,Yes
624481ee538b93dedb0881ea,613a469755c08ab3b9d682ad,APPROVED,2022-03-30 16:14:42.943000,2022-03-30 16:53:14.385000,2311.442,25,194,0,100,2022-03-31 10:52:24.944000,29551DF4,Mexico,Mexico,Full-Time,Spanish,Mexico,Female,No
624481ee7df0c17d339f6725,5c018eb6067bbf00019ba43d,APPROVED,2022-03-30 16:14:59.914000,2022-03-30 16:36:11.847000,1271.933,29,110,1,100,2022-03-31 10:52:25.023000,29551DF4,Poland,Poland,Part-Time,Polish,Poland,Male,No
624481eee566be16f0069c00,6012ed349807110d8eb941a6,RETURNED,2022-03-30 16:14:44.452000,,70774.556558,36,391,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
624481eef03cc0f4f15b77fb,5f108dea719866356702d26f,APPROVED,2022-03-30 16:14:38.669000,2022-03-30 16:35:04.626000,1225.957,24,392,2,100,2022-03-31 10:52:25.134000,29551DF4,Poland,Poland,Full-Time,Polish,Poland,Male,Yes
624481ef32fc761eead48cf8,60979b540a2cf2468fde514b,APPROVED,2022-03-30 16:14:44.640000,2022-03-30 16:42:54.941000,1690.301,49,431,1,100,2022-03-31 10:52:25.206000,29551DF4,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,No
624481ef67fe05f255e06c14,5ec6d054e1f1a71078cfbcda,RETURNED,2022-03-30 16:14:39.177000,,70779.875038,39,750,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
624481efa7d917a05e5ba0c7,5f466020c3a053038da47399,APPROVED,2022-03-30 16:14:39.008000,2022-03-30 16:31:55.743000,1036.735,23,60,0,100,2022-03-31 10:52:25.281000,29551DF4,Portugal,Portugal,Full-Time,Portuguese,Portugal,Female,No
624481efe38fd3296b1321c0,60a7d7b70d3cf8f48a8a490d,APPROVED,2022-03-30 16:14:43.086000,2022-03-30 16:35:53.879000,1270.793,32,746,4,99,2022-03-31 10:52:25.366000,29551DF4,United States,United States,Full-Time,English,United States,Male,No
624481effee98864284543d0,604fa685e33606f9a0ee8189,APPROVED,2022-03-30 16:14:39.484000,2022-03-30 16:41:07.386000,1587.902,25,563,3,100,2022-03-31 10:52:25.463000,29551DF4,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,Yes
624481f002c05834a54055f6,5c7dd22debc24800018e7ca0,APPROVED,2022-03-30 16:19:59.274000,2022-03-30 16:53:51.331000,2032.057,41,356,3,100,2022-03-31 10:52:25.548000,29551DF4,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Male,Yes
624481f065cf546ab39a394f,5e7d3b58d638273c7f823c7b,APPROVED,2022-03-30 16:14:48.917000,2022-03-30 16:29:24.093000,875.176,19,368,0,100,2022-03-31 10:52:25.639000,29551DF4,United Kingdom,United Kingdom,Unemployed (and job seeking),English,United Kingdom,Male,Yes
624481f098972077b421830f,5f99dc8aa866bf0bf2d60f46,RETURNED,2022-03-30 16:14:53.402000,,70765.745877,20,204,3,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
624481f0c3721fbdf561e7b1,60f06a479c4f3ec0a536d40a,RETURNED,2022-03-30 16:14:50.277000,,70768.883724,21,228,4,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
624481f0dbebb7fcfcc98fb5,611ab1da8239817bc8d5f1e1,APPROVED,2022-03-30 16:14:43.239000,2022-03-30 16:32:10.109000,1046.87,19,59,0,100,2022-03-31 10:52:25.714000,29551DF4,Poland,Poland,Other,Polish,Poland,Female,Yes
