submission_id,participant_id,status,started_at,completed_at,reviewed_at,Archived at,time_taken,Completion code,Total approvals,Total rejections,Approval rate,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
62a4873904d0f1b5f416fb7c,5e7b1409f898741063f7a2f1,APPROVED,2022-06-11T12:14:49.898000Z,2022-06-11T12:36:52.586000Z,2022-06-27T11:25:16.648000Z,,1323,29551DF4,253,0,100,21,Female,White,Poland,Poland,Poland,Polish,Yes,Unemployed (and job seeking)
62a4873c50a4c8e48a505a5a,6019bdc7141cd215ad62fd91,APPROVED,2022-06-11T12:14:52.746000Z,2022-06-11T12:41:32.203000Z,2022-06-27T11:25:16.727000Z,,1600,29551DF4,139,1,100,25,Female,White,Poland,Poland,Poland,Polish,No,Full-Time
62a487406d51fa5da41dc8f3,6082f7e90a6e0ea1f8c6d7cb,APPROVED,2022-06-11T12:14:56.766000Z,2022-06-11T12:35:03.305000Z,2022-06-27T11:25:16.801000Z,,1207,29551DF4,113,0,100,23,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
62a48746c3d356d918de5eb3,5c88d569d47e6a0001a6192a,APPROVED,2022-06-11T12:15:02.889000Z,2022-06-11T12:36:03.618000Z,2022-06-27T11:25:10.640000Z,,1261,29551DF4,477,1,100,25,Male,White,Hungary,Hungary,Hungary,Hungarian,Yes,Full-Time
62a4874f79866dd42eb0247b,614edc28c06016196b8d6a40,APPROVED,2022-06-11T12:17:52.768000Z,2022-06-11T12:40:52.640000Z,2022-06-27T11:25:10.734000Z,,1380,29551DF4,122,0,100,23,Male,White,Italy,Italy,Italy,Italian,Yes,Part-Time
62a4875088b01a72617a6bbe,5f93fecc66720e1e31e43464,APPROVED,2022-06-11T12:15:12.118000Z,2022-06-11T12:36:37.773000Z,2022-06-27T11:25:16.943000Z,,1286,29551DF4,148,0,100,25,Female,White,Italy,Italy,Italy,Italian,Yes,Part-Time
62a48752c70df8ec5937d236,615f3ab1cca1aeec1f5990a3,APPROVED,2022-06-11T12:15:14.874000Z,2022-06-11T13:16:02.274000Z,2022-06-27T11:25:17.021000Z,,3648,29551DF4,91,1,100,28,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
62a4875379866dd42eb0247c,5ddb0d8c9dac7ca8a61b00fd,APPROVED,2022-06-11T12:15:15.343000Z,2022-06-11T13:06:19.451000Z,2022-06-27T11:25:10.834000Z,,3065,29551DF4,261,0,100,57,Male,White,"Venezuela, Bolivarian Republic of",Spain,Italy,Spanish,No,Full-Time
62a48753c24e9e3bafebfb32,60fd944e3965e6eb9e783b87,APPROVED,2022-06-11T12:15:15.579000Z,2022-06-11T12:38:21.282000Z,2022-06-27T11:25:10.923000Z,,1386,29551DF4,130,1,100,30,Male,Other,Jordan,Hungary,Jordan,Arabic,No,Full-Time
62a4875472f16d4c376c5320,5e8ef2059eeb7a1af7502f3c,APPROVED,2022-06-11T12:15:16.336000Z,2022-06-11T12:38:05.521000Z,2022-06-27T11:25:11.013000Z,,1370,29551DF4,349,0,100,23,Male,White,Italy,Italy,Italy,Italian,Yes,Part-Time
62a48758bb5e6db5e06e83ca,5c0e104111d18f0001995175,APPROVED,2022-06-11T12:15:28.317000Z,2022-06-11T12:42:36.040000Z,2022-06-27T11:25:17.094000Z,,1628,29551DF4,276,1,100,58,Female,White,Canada,United Kingdom,United Kingdom,English,No,Part-Time
62a4875ac2623f5edfb371d8,612520bd6605794b27e6a0fd,APPROVED,2022-06-11T12:15:24.767000Z,2022-06-11T12:54:20.217000Z,2022-06-27T11:25:11.110000Z,,2336,29551DF4,317,0,100,35,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
62a4875d664bf42ef5b0a1d0,61104698e0ea6c52b2a2c1be,APPROVED,2022-06-11T12:15:25.226000Z,2022-06-11T12:32:27.137000Z,2022-06-27T11:25:17.184000Z,,1022,29551DF4,45,0,100,21,Female,White,Poland,Poland,Poland,Polish,Yes,Unemployed (and job seeking)
62a48760dba1401c77a8b0a2,5b7af290db11320001c3ff1d,APPROVED,2022-06-11T12:16:21.514000Z,2022-06-11T12:36:00.408000Z,2022-06-27T11:25:17.252000Z,,1179,29551DF4,94,2,99,22,Female,White,Portugal,Portugal,Portugal,Portuguese,DATA_EXPIRED,DATA_EXPIRED
62a4876147d3fe1cfa2520d3,5bc1f0157870b900012dcb8a,APPROVED,2022-06-11T12:15:45.755000Z,2022-06-11T12:41:41.150000Z,2022-06-27T11:25:11.183000Z,,1556,29551DF4,282,8,96,23,Male,White,Portugal,Portugal,Portugal,Portuguese,DATA_EXPIRED,DATA_EXPIRED
62a4876263ec19c125f068b0,5ee29b48f876547924af1c69,APPROVED,2022-06-11T12:15:30.881000Z,2022-06-11T12:43:23.457000Z,2022-06-27T11:25:17.323000Z,,1673,29551DF4,182,1,100,22,Female,White,Poland,Poland,Poland,Polish,Yes,Part-Time
