,part_idx,participant,mean_accuracy,inters_real,int_range,int_length,scenario,accuracy,difficulty
111,111,6159e8d7327e9932b6cc3333,0.6795868292338365,5.0,79.52,0.616,crime,0.6438179234692023,2
112,112,615f3ab1cca1aeec1f5990a3,0.7167372814861963,5.0,165.12,5.784,crime,0.7039782677245108,1
113,113,61686eac91f3797791f3e14c,0.6710558789163285,4.4,167.13636363636363,5.363636363636363,crime,0.6464466094067262,1
114,114,616a1875b47d519ccfc44f12,0.9246397017348723,10.8,92.79629629629629,2.285185185185185,crime,0.9105572809000084,2
115,115,616a8502cf9f59ac63569662,0.8153126617182055,9.6,119.375,1.9500000000000002,crime,0.8423779187521798,2
116,116,61712faf3df2dd32312349b3,0.8315775753686129,8.8,70.36363636363636,1.1363636363636365,crime,0.7855774930324411,1
117,117,6175dfa41b18f404d6ed8ab6,0.8657667370021855,7.2,108.44444444444444,2.4277777777777785,crime,0.8053752639596192,2
118,0,576d8e821a48240001867c54,0.6422272870617893,3.4,74.94117647058823,5.905882352941176,finance,0.6743305263605353,1
119,1,57dd3b0e91b7fc0001493db9,0.7198276431762147,0.0,0.0,0.0,finance,0.7294991095997703,2
120,2,57fe48c390de420001673796,0.9227250769036104,10.0,123.28,3.5559999999999996,finance,1.0,1
121,3,5ab15ab4c42b630001cd36fb,0.7528810851515515,12.4,90.56451612903226,1.725806451612903,finance,0.7867992836443896,2
122,4,5abc0d68436f550001ff83ff,0.683890323118441,0.0,0.0,0.0,finance,0.7867992836443896,1
123,5,5b06c34ed424fd0001eebda1,0.9139328841740157,6.4,106.03125,5.4375,finance,0.9098330365332568,1
124,6,5b1e7a55c813a60001480313,0.9164534188360879,10.4,73.88461538461539,2.007692307692308,finance,1.0,1
125,7,5b58d79b71a4100001555c56,0.9201656347114755,11.4,83.96491228070175,3.136842105263158,finance,0.919417703597462,2
126,8,5b7af290db11320001c3ff1d,0.9133802118531011,9.0,107.33333333333333,3.4,finance,0.6776708143898479,2
127,9,5b8c8e7d0c740e00019d55c3,0.9564635387841178,9.2,76.19565217391305,4.247826086956521,finance,0.8724846573873324,1
128,10,5ba57e0438803d0001264be3,0.7801747122912115,6.6,67.6969696969697,3.56969696969697,finance,1.0,1
129,11,5bb511c6689fc5000149c703,0.9013008513882561,7.2,101.72222222222223,3.566666666666667,finance,0.91695452014626,1
130,12,5bb64eb80b5da70001c7cfca,0.7876354738410876,7.6,107.39473684210526,2.0684210526315785,finance,0.8377785788692375,2
131,13,5bc1c9dd9fffb200019bebe1,0.93008192472997,12.4,99.29032258064517,3.2806451612903222,finance,0.9163757989992909,2
132,14,5bc1f0157870b900012dcb8a,0.8365423712534328,9.6,53.208333333333336,3.1458333333333335,finance,0.9129611720221511,1
133,15,5bf1ecfcaf38d100016c1171,0.8843251870148412,5.4,74.0,4.2444444444444445,finance,0.8492443277111181,1
134,16,5c0e104111d18f0001995175,0.6941008814773788,5.2,130.23076923076923,6.607692307692308,finance,0.5948097922239335,2
135,17,5c3885dcf5ebd5000184defb,0.8825237892138661,9.0,105.95555555555555,4.644444444444444,finance,0.8817375208021835,2
136,18,5c7e388fffd1190017be7f83,0.8162141395834217,5.2,83.96153846153847,5.392307692307692,finance,0.9098330365332568,2
137,19,5c88d569d47e6a0001a6192a,0.7527373096042169,8.0,99.125,3.9799999999999995,finance,0.5098370268372567,2
138,20,5cb450df19eba3001270131f,0.9190997408948498,6.4,120.5,4.9375,finance,0.91695452014626,2
139,21,5d00bb3b51669b000136a986,0.6732473149188621,10.8,23.666666666666668,1.1925925925925924,finance,0.7303200550147032,2
140,22,5d77679546b49c0001fe0c03,0.724164627613362,9.0,135.55555555555554,3.7466666666666666,finance,0.7508635604387801,2
141,23,5d7e41aea60f7b00013cf1af,0.8386988682850947,9.2,152.6086956521739,3.865217391304348,finance,0.6984886554222364,2
142,24,5dab6e7d80e1780016d5bc9b,0.8101501989094129,9.6,105.27083333333333,3.275,finance,0.8196660730665135,2
143,25,5ddb0d8c9dac7ca8a61b00fd,0.8791882074709012,4.8,139.58333333333334,5.641666666666667,finance,0.9098330365332568,1
144,26,5ddd2275946f7cc8b0efb547,0.7695318166128822,6.4,95.625,3.8687500000000004,finance,0.7388835160664533,1
145,27,5e04595a4fa02aefdb9c9ced,0.8903485063627963,13.6,64.69117647058823,2.211764705882353,finance,0.6966445321453714,1
