,part_idx,participant,mean_accuracy,time_taken,inters_real,int_range,int_length,scenario,accuracy,difficulty
29,29,5e9fdd5effe6a51855448d1b,0.7459995343320117,41.22561666666666,9.75,94.84615384615384,3.41025641025641,crime,0.9246221638555591,1.0
30,30,5ec3b9e83f187802a6aa041e,0.8530853110426988,18.217100000000002,7.0,151.21428571428572,4.378571428571429,crime,0.919417703597462,1.0
31,31,5eea0a01da0cfc0a744df4d9,0.8374873103564274,30.40095,8.5,88.88235294117646,2.5470588235294116,crime,1.0,1.0
32,32,5ef601b056fe3607b3410b33,0.9083857245352185,26.20695,8.25,146.72727272727272,4.406060606060606,crime,0.8604273684402294,1.0
33,33,5eff4206a352be49f1aef4cc,0.9149631958974226,27.437683333333332,8.0,151.5625,4.56875,crime,0.8686935671402775,1.0
34,34,5f0559d1bc410b85707c58a3,0.9162785669668814,19.67735,10.0,99.575,3.6199999999999997,crime,0.91695452014626,1.0
35,35,5f120176fbc66510873bcbf8,0.7412292406666046,20.531683333333334,9.0,132.08333333333334,3.3,crime,0.7313646552413323,1.0
36,36,5f1b2fe23bcef80c38d2a362,0.7509240048890291,39.36945,7.5,111.9,3.4199999999999995,crime,0.6777809182993317,2.0
37,37,5f2448855226b0000a8129e1,0.823333738199675,19.037266666666667,4.75,33.526315789473685,5.126315789473684,crime,0.7538170180413345,1.0
38,38,5f2c226f8cea75078acb6377,0.8655929671971307,36.837133333333334,20.5,69.3170731707317,0.6902439024390243,crime,0.8686935671402775,2.0
39,39,5f343de4d0c07630b7f90b92,0.7786600947601519,24.431516666666667,8.0,89.46875,4.112500000000001,crime,0.919417703597462,1.0
40,40,5f3aee04e30eac7cb73b416e,0.7956795361627951,,7.5,42.1,0.7733333333333333,crime,0.7208547368804588,2.0
41,41,5f3e8506cb479c0a96cf4aac,0.7498587963931249,19.266183333333334,6.0,82.375,3.5749999999999997,crime,0.5847726007313001,2.0
42,42,5f466020c3a053038da47399,0.7957836566098542,17.278916666666664,9.75,103.58974358974359,3.1128205128205133,crime,0.8069531643736639,2.0
43,43,5f4e97aae4fe380a7bad99c7,0.8633135319685341,17.230216666666667,10.5,85.45238095238095,3.1380952380952376,crime,0.8686935671402775,2.0
44,44,5f600669b846780f0fe45709,0.8782661415831614,43.91523333333334,10.0,78.5,3.66,crime,1.0,2.0
45,45,5f6b8c1f5622370b0c94d597,0.7659783240030926,24.248949999999997,6.25,115.8,6.367999999999999,crime,0.5755895576184717,1.0
46,46,5f75ce20817166287293b825,0.8698063094107993,21.001216666666668,9.0,93.41666666666667,0.6500000000000001,crime,0.8927887465162205,2.0
47,47,5f761e5106b786071f45b4aa,0.7537807155994625,50.63503333333333,2.5,34.6,0.42000000000000004,crime,0.8852921330647191,1.0
48,48,5f8836a5fb70462a169fc0ac,0.8847021024594008,24.945133333333334,13.0,66.6923076923077,1.3730769230769229,crime,0.8634952734420129,2.0
49,49,5f97e6601f6d0e016087fc91,0.7132311447848028,16.778566666666666,12.25,84.75510204081633,2.979591836734694,crime,0.9221501055838477,1.0
50,50,5f9aba6600cdf11f1c9b915c,0.7708452810059484,51.048750000000005,1.75,81.28571428571429,3.1714285714285713,crime,0.49232691743319046,2.0
