participant,scenario,difficulty,accuracy,actions,normative_error,lc_error
5c9124ef3b7f9e0013728485,finance,2,0.7616343526886019,1,0.0714285714285714,0.0436571201962187
5cae09506d573900175d4727,crime,2,0.8093074821508816,1,0.0,0.11450043947617794
5cae09506d573900175d4727,estate,1,0.8825559560970593,1,0.0,0.11450043947617794
5cae09506d573900175d4727,finance,3,0.7580566484363465,1,0.0,0.11450043947617794
5cb304b63742a400153b756d,crime,3,0.8521557458090854,1,0.0,0.12803687993289592
5cb304b63742a400153b756d,estate,2,0.8248576389739852,1,0.0,0.12803687993289592
5cb304b63742a400153b756d,finance,1,0.9163757989992908,1,0.0,0.12803687993289592
5ccc758ab11510001584a1af,crime,3,0.81004612605476,1,0.0,-0.0647089106962131
5ccc758ab11510001584a1af,estate,1,0.8634952734420129,1,0.0,-0.0647089106962131
5ccc758ab11510001584a1af,finance,2,0.8483803912842194,1,0.0,-0.0647089106962131
5cd98287b0c5ec0001e0965a,crime,2,0.8651600275073517,1,0.0,0.10101525445522108
5cd98287b0c5ec0001e0965a,estate,1,0.9163757989992908,1,0.0,0.10101525445522108
5cd98287b0c5ec0001e0965a,finance,3,0.7741230242736872,1,0.0,0.10101525445522108
5cdeaeb3557fbd00018a2c59,crime,2,0.8790283242181732,1,0.0,0.0739221270954572
5cdeaeb3557fbd00018a2c59,estate,3,0.8521557458090854,1,0.0,0.0739221270954572
5cdeaeb3557fbd00018a2c59,finance,1,1.0,1,0.0,0.0739221270954572
5cf92c7255e1370001e54adb,crime,3,0.8438262381113939,1,0.0,0.0987729596649588
5cf92c7255e1370001e54adb,estate,2,0.8892302448756577,1,0.0,0.0987729596649588
5cf92c7255e1370001e54adb,finance,1,0.8433479100024085,1,0.0,0.0987729596649588
5d29fbc8f91bdd0016e98503,crime,3,0.6507848521152109,1,0.06984302957695798,0.06652480787414261
5d29fbc8f91bdd0016e98503,estate,1,0.5654759053732592,1,0.06984302957695798,0.06652480787414261
5d29fbc8f91bdd0016e98503,finance,2,0.6194378024463063,1,0.06984302957695798,0.06652480787414261
5d36ff998129260015c6de19,crime,1,0.8817375208021835,1,0.0,-0.11826247919781652
5d36ff998129260015c6de19,estate,3,0.7642977396044842,1,0.0,-0.11826247919781652
5d36ff998129260015c6de19,finance,2,0.9163757989992908,1,0.0,-0.11826247919781652
5d6e3252dfe6d10001dbe508,crime,1,0.7994261107285615,1,0.0,-0.024468633022318942
5d6e3252dfe6d10001dbe508,estate,2,0.7038255611204538,1,0.0,-0.024468633022318942
5d6e3252dfe6d10001dbe508,finance,3,0.7729616954067501,1,0.0,-0.024468633022318942
5d94c6f5dc0b0e001465072e,crime,1,0.8921672267965616,1,0.0,-0.1128497148139499
5d94c6f5dc0b0e001465072e,estate,2,0.9188892894346188,1,0.0,-0.1128497148139499
5d94c6f5dc0b0e001465072e,finance,3,0.8347050987731784,1,0.0,-0.1128497148139499
5da60411423c170017b7dc0f,crime,1,1.0,1,0.12097167578182677,0.1561737618886061
5da60411423c170017b7dc0f,estate,3,0.779136947850307,1,0.12097167578182677,0.1561737618886061
5da60411423c170017b7dc0f,finance,2,0.8686935671402775,1,0.12097167578182677,0.1561737618886061
5dc56fbac34fc53e4e78b820,crime,3,0.6438690292986541,1,0.0987729596649588,0.020509072394765737
5dc56fbac34fc53e4e78b820,estate,1,0.9216739550012044,1,0.0987729596649588,0.020509072394765737
5dc56fbac34fc53e4e78b820,finance,2,0.8679323640511565,1,0.0987729596649588,0.020509072394765737
5e29e902c2253a0587298e26,crime,2,0.8248576389739852,1,0.0,0.12841837816549218
5e29e902c2253a0587298e26,estate,1,0.9188892894346188,1,0.0,0.12841837816549218
5e29e902c2253a0587298e26,finance,3,0.8603139408460844,1,0.0,0.12841837816549218
5e5eb4843accc91e2443212f,crime,1,0.8304841240947974,1,0.0,0.13957764322743105
5e5eb4843accc91e2443212f,estate,3,0.7411365045466037,1,0.0,0.13957764322743105
5e5eb4843accc91e2443212f,finance,2,0.8651600275073517,1,0.0,0.13957764322743105
5e87a0b5fc57a7415442f97e,crime,2,0.7729616954067501,1,0.0,0.12300515612418028
5e87a0b5fc57a7415442f97e,estate,3,0.8564083682764524,1,0.0,0.12300515612418028
5e87a0b5fc57a7415442f97e,finance,1,0.9199359230974564,1,0.0,0.12300515612418028
5e9948b69223aa17c21564f4,crime,2,0.8521557458090854,1,0.0,0.10002599065375573
5e9948b69223aa17c21564f4,estate,3,0.8356010126946427,1,0.0,0.10002599065375573
5e9948b69223aa17c21564f4,finance,1,1.0,1,0.0,0.10002599065375573
