utid,pid,experiment,difficulty,scenario,model_name,ground_truth,posterior_map,posterior_judgement,prior_judgement,prior_entropy,posterior_entropy_unsmoothed,posterior_entropy,model_specs
3-5c6400cbcb937d00012d8866-crime_0-congruent,5c6400cbcb937d00012d8866,experiment_3,congruent,crime,LC_discrete_&_1,[ 0.5  1.  -0.5  0.5  1.  -0.5],[0. 1. 0. 1. 1. 0.],[0.  0.5 0.  0.  1.  0.5],[ 0.5  1.  -0.5  0.5  1.  -0.5],13.93156857,1.43E-17,13.22638643,{'smoothing': 0.87559123}
3-5c6400cbcb937d00012d8866-dampened_2-generic_0,5c6400cbcb937d00012d8866,experiment_3,generic_0,dampened,LC_discrete_&_1,[-1.  -0.5  0.  -1.   0.   0. ],[-1.  0.  0. -1.  0.  0.],[-0.5  0.   0.   0.5  0.   0. ],,13.93156857,1.04E-06,13.22638645,{'smoothing': 0.87559123}
3-5c6400cbcb937d00012d8866-finance_0-incongruent,5c6400cbcb937d00012d8866,experiment_3,incongruent,finance,LC_discrete_&_1,[ 0.   1.   0.   0.5  0.  -0.5],[ 0.   1.   0.   0.5  0.  -0.5],[ 0.5  0.   0.   0.   0.  -0.5],[ 0.   0.   0.  -0.5  1.   0.5],13.93156857,7.43E-08,13.22638644,{'smoothing': 0.87559123}
3-5c6400cbcb937d00012d8866-pos_chain_2-generic_1,5c6400cbcb937d00012d8866,experiment_3,generic_1,neg_chain,LC_discrete_&_1,[-1  0  0 -1  0  0],[-1.   0.5  0.  -1.   0.   0. ],[ 0.  0. -1.  0.  0.  0.],,13.93156857,0.000687856,13.22640042,{'smoothing': 0.87559123}
3-5c7dd22debc24800018e7ca0-crime_0-congruent,5c7dd22debc24800018e7ca0,experiment_3,congruent,crime,LC_discrete_&_1,[-0.5  0.5  0.5 -0.5 -0.5  0.5],[-0.5  0.5  0.5 -0.5 -0.5  0.5],[-0.5  0.5  0.5 -0.5 -0.5 -1. ],[-0.5  0.5  0.5 -0.5 -0.5  0.5],13.93156857,8.74E-07,13.21632038,{'smoothing': 0.88123546}
3-5c7dd22debc24800018e7ca0-dampened_3-generic_0,5c7dd22debc24800018e7ca0,experiment_3,generic_0,dampened,LC_discrete_&_1,[-1.   0.5  0.   1.   0.   0. ],[-1.   0.5  0.   1.   0.   0. ],[-0.5 -0.5  0.5  0.5  0.  -0.5],,13.93156857,3.94E-21,13.21632037,{'smoothing': 0.88123546}
3-5c7dd22debc24800018e7ca0-finance_0-incongruent,5c7dd22debc24800018e7ca0,experiment_3,incongruent,finance,LC_discrete_&_1,[ 0.  -0.5 -0.5 -0.5  0.5  0.5],[ 0.  -0.5 -0.5 -0.5  0.5  0.5],[-0.5 -1.   0.  -0.5 -0.5 -0.5],[-0.5  0.5  0.   0.5 -0.5 -0.5],13.93156857,3.17E-11,13.21632037,{'smoothing': 0.88123546}
3-5c7dd22debc24800018e7ca0-pos_chain_1-generic_1,5c7dd22debc24800018e7ca0,experiment_3,generic_1,pos_chain,LC_discrete_&_1,[1 0 0 1 0 0],[1.  0.5 0.  1.  0.  0. ],[0.5 0.5 0.  0.5 0.  0. ],,13.93156857,2.14E-21,13.21632037,{'smoothing': 0.88123546}
3-5c8bafb53b6f3d00013d7c30-crime_0-congruent,5c8bafb53b6f3d00013d7c30,experiment_3,congruent,crime,LC_discrete_&_1,[-1.   0.   1.  -1.   0.5  0. ],[-1.  0.  1. -1.  0.  0.],[ 0.5  0.5 -0.5 -1.   0.5 -0.5],[-1.   0.   1.  -1.   0.5  0. ],13.93156857,8.34E-16,13.86766568,{'smoothing': 0.28768863}
3-5c8bafb53b6f3d00013d7c30-dampened_2-generic_0,5c8bafb53b6f3d00013d7c30,experiment_3,generic_0,dampened,LC_discrete_&_1,[-1.  -0.5  0.  -1.   0.   0. ],[-1.  0.  0. -1.  0.  0.],[-0.5  1.   0.  -1.   0.   0. ],,13.93156857,0.002182816,13.86767002,{'smoothing': 0.28768863}
3-5c8bafb53b6f3d00013d7c30-finance_0-incongruent,5c8bafb53b6f3d00013d7c30,experiment_3,incongruent,finance,LC_discrete_&_1,[ 0.   0.  -0.5 -0.5  0.5  0. ],[ 0.   0.  -0.5 -0.5  0.5  0. ],[ 0.  -0.5  0.5  0.5  0.5 -1. ],[-0.5  0.5  0.   0.   0.  -0.5],13.93156857,2.53E-22,13.86766568,{'smoothing': 0.28768863}
3-5c8bafb53b6f3d00013d7c30-pos_chain_1-generic_1,5c8bafb53b6f3d00013d7c30,experiment_3,generic_1,pos_chain,LC_discrete_&_1,[1 0 0 1 0 0],[1.  0.5 0.  1.  0.  0. ],[-1.  -0.5  0.   0.5  1.   0.5],,13.93156857,3.83E-15,13.86766568,{'smoothing': 0.28768863}
3-5cf9179b8c98dc0001d5a431-crime_1-incongruent,5cf9179b8c98dc0001d5a431,experiment_3,incongruent,crime,LC_discrete_&_1,[ 1.   0.  -1.  -0.5 -0.5 -1. ],[ 0.5  0.  -1.  -0.5  0.5 -1. ],[-1.   0.5 -0.5 -0.5 -0.5 -1. ],[-1.  -0.5  1.  -1.   0.  -0.5],13.93156857,0.865646262,8.432558289,{'smoothing': 2.48633115}
3-5cf9179b8c98dc0001d5a431-dampened_3-generic_0,5cf9179b8c98dc0001d5a431,experiment_3,generic_0,dampened,LC_discrete_&_1,[-1.   0.5  0.   1.   0.   0. ],[-1.   0.5  0.   1.   0.   0. ],[-1.  -0.5  0.   0.5  0.   0. ],,13.93156857,0.008130253,7.863343528,{'smoothing': 2.48633115}
3-5cf9179b8c98dc0001d5a431-finance_1-congruent,5cf9179b8c98dc0001d5a431,experiment_3,congruent,finance,LC_discrete_&_1,[-0.5  1.   0.   0.5 -1.  -0.5],[-0.5  1.   0.   0.  -1.  -0.5],[-0.5  0.5 -0.5  0.  -1.  -0.5],[-0.5  1.   0.   0.5 -1.  -0.5],13.93156857,4.98E-12,7.86192402,{'smoothing': 2.48633115}
3-5cf9179b8c98dc0001d5a431-pos_chain_2-generic_1,5cf9179b8c98dc0001d5a431,experiment_3,generic_1,neg_chain,LC_discrete_&_1,[-1  0  0 -1  0  0],[-1.  0.  0. -1.  0.  0.],[-0.5  1.   0.  -0.5  0.   0. ],,13.93156857,5.50E-08,7.861924023,{'smoothing': 2.48633115}
3-5cfddbd3ee0b1500019fa84c-crime_0-congruent,5cfddbd3ee0b1500019fa84c,experiment_3,congruent,crime,LC_discrete_&_1,[-1.   0.   1.   0.5  0.   0. ],[-1.   0.   1.   0.5  0.   0. ],[-0.5  0.   1.   0.5  0.   0. ],[-1.   0.   1.   0.5  0.   0. ],13.93156857,6.94E-21,9.238056694,{'smoothing': 2.14706732}
3-5cfddbd3ee0b1500019fa84c-dampened_3-generic_0,5cfddbd3ee0b1500019fa84c,experiment_3,generic_0,dampened,LC_discrete_&_1,[-1.   0.5  0.   1.   0.   0. ],[-1.  -0.5  0.   1.   0.   0. ],[-0.5  0.   0.   0.5  0.   0. ],,13.93156857,5.72E-23,9.238056694,{'smoothing': 2.14706732}
3-5cfddbd3ee0b1500019fa84c-finance_0-incongruent,5cfddbd3ee0b1500019fa84c,experiment_3,incongruent,finance,LC_discrete_&_1,[ 0.  -0.5  0.  -0.5  1.   0. ],[ 0.  -0.5  0.  -0.5  1.   0. ],[ 0.  -0.5  0.  -0.5  0.5  0. ],[ 0.   1.   0.   0.  -0.5 -0.5],13.93156857,8.20E-25,9.238056694,{'smoothing': 2.14706732}
